text, label
"Breaking miracle cure for cancer discovered by unknown scientist",fake
"Government releases new economic report showing 3% growth",real
"Doctors hate this trick to cure diseases with one weird tip",fake
"NASA launches new satellite into orbit for climate monitoring",real
"100% guaranteed weight loss secret trick doctors don't want you to know",fake
"Scientists discover miracle cure using secret trick hidden by big pharma",fake
"Big pharma hiding cancer cure to keep patients paying for treatment",fake
"100% guaranteed method to cure diabetes naturally with this miracle cure",fake
"Secret trick that doctors hate can reverse aging overnight guaranteed",fake
"This miracle cure eliminates all disease big pharma secret trick exposed",fake
"United Nations holds emergency summit on climate change policy",real
"Federal Reserve raises interest rates by 25 basis points",real
"Scientists publish peer-reviewed study on Alzheimer's early detection",real
"European Union approves new data privacy regulations for tech companies",real
"World Health Organization releases updated vaccination guidelines",real
"Local government announces infrastructure investment plan",real
"University researchers develop more efficient solar panel technology",real
"Stock markets close higher amid positive earnings reports",real
"International team of astronomers discovers new exoplanet",real
"Health ministry confirms vaccination campaign reaches 80% coverage",real
"Leaked documents expose government mind control through 5G towers",fake
"Doctors secretly paid to hide the truth about this miracle supplement",fake
"Big pharma executives arrested for hiding 100% guaranteed AIDS cure",fake
"Secret trick to print unlimited money that banks don't want you to know",fake
"Doctors hate this one weird trick that reverses cancer completely",fake
"Aliens control world leaders says whistleblower with secret proof",fake
"This fruit destroys cancer cells overnight miracle cure suppressed",fake
"100% guaranteed way to boost IQ by 50 points in just one week",fake
"Secret trick to never pay taxes legally that accountants hide from you",fake
"Big pharma paying doctors to ignore miracle cure for heart disease",fake
"Parliament passes new budget allocating funds to public healthcare",real
"Scientists confirm new antibiotic effective against drug-resistant bacteria",real
"Olympic committee announces host city for 2032 summer games",real
"Central bank publishes annual financial stability report",real
"Tech company reports quarterly revenue growth of 12 percent",real
"Earthquake measuring 6.2 magnitude strikes coastal region no casualties",real
"New study links air pollution to increased risk of cardiovascular disease",real
"Government announces expansion of renewable energy subsidies",real
"Researchers develop new battery technology with longer charge life",real
"Public health agency releases guidelines for flu season preparation",real
